Chemical,CAS,Sl (m/s),Reactivity
HYDROGEN,1333-74-0,3.12,High
ACETYLENE,74-86-2,1.66,High
ETHYLENE OXIDE,75-21-8,1.08,High
VINYLACETYLENE,689-97-4,0.89,High
PROPADIENE,463-49-0,0.87,High
1-PROPYNE,74-99-7,0.82,High
PROPYLENE OXIDE,75-56-9,0.82,High
ETHYLENE,74-85-1,0.8,High
SPIROPENTANE,157-40-4,0.71,Medium
ETHYLACETYLENE,107-00-6,0.68,Medium
"1,2-BUTADIENE",590-19-2,0.68,Medium
CYCLOBUTANE,287-23-0,0.67,Medium
ACROLEIN,107-02-8,0.66,Medium
"1,3-BUTADIENE",106-99-0,0.64,Medium
1-PENTYNE,627-19-0,0.63,Medium
METHYLENE,2465-56-7,0.61,Medium
DIMETHYLACETYLENE,503-17-3,0.61,Medium
"1,2-PENTADIENE",591-95-7,0.61,Medium
2-PENTYNE,627-21-4,0.61,Medium
"2,3-PENTADIENE",591-96-8,0.6,Medium
n-PROPIONALDEHYDE,123-38-6,0.58,Medium
METHYLCYCLOPROPANE,594-11-6,0.58,Medium
CARBON DISULFIDE,75-15-0,0.58,Medium
1-HEXYNE,693-02-7,0.57,Medium
ETHYLCYCLOPROPANE,1191-96-4,0.56,Medium
METHANOL,67-56-1,0.56,Medium
CYCLOPROPANE,75-19-4,0.56,Medium
"3,3-DIMETHYL-1-BUTYNE",917-92-0,0.56,Medium
"cis-1,3-PENTADIENE",1574-41-0,0.55,Medium
"cis-1,2-DIMETHYLCYCLOPROPANE",2402-06-4,0.55,Medium
"1,4-PENTADIENE",591-93-5,0.55,Medium
ISOPRENE,78-79-5,0.55,Medium
"cis-1,2-DIMETHYLCYCLOPROPANE",930-18-7,0.55,Medium
DIMETHYL ETHER,115-10-6,0.54,Medium
"trans-1,3-PENTADIENE",2004-70-8,0.54,Medium
"4-METHYL-2-PENTYNE",21020-27-9,0.54,Medium
ACETONE,67-64-1,0.54,Medium
ETHYLCYCLOBUTANE,4806-61-5,0.53,Medium
"4-METHYL-1-PENTYNE",7154-75-8,0.53,Medium
3-HEXYNE,928-49-4,0.53,Medium
